id,lat,lon,address,city,departament,country
76,5.531089,-73.361714,Cl. 18 #9-44,Tunja,Boyacá,Colombia
77,8.550862,-72.934534,H328+85 El Tarra,H328+85 El Tarra,Norte de Santander,Colombia
78,5.82786,-73.037707,Cl. 12 #13-02,Duitama,Boyacá,Colombia
79,8.550893,-72.934434,H328+96 El Tarra,H328+96 El Tarra,Norte de Santander,Colombia
80,5.83059,-73.033857,Cl. 17 #13-91,Duitama,Boyacá,Colombia
81,5.820933,-73.023559,Faraon,Duitama,Boyacá,Colombia
82,5.810681,-73.020662,Cl. 20 #40-33,Duitama,Boyacá,Colombia
83,5.823648,-73.037115,Cra. 18 #9-82,Duitama,Boyacá,Colombia
84,5.548949,-73.350847,Cl. 41 #3-34,Tunja,Boyacá,Colombia
85,5.544549,-73.354454,Cra. 4 #32-96,Tunja,Boyacá,Colombia
86,40.275621,-3.743242,5,28906 Getafe,Madrid,Spain
87,5.52631,-73.367724,Cl. 11b #15-38,Tunja,Boyacá,Colombia
88,5.543866,-73.357374,Maldonado,Tunja,Boyacá,Colombia
89,5.542414,-73.358448,Maldonado,Tunja,Boyacá,Colombia
90,5.544438,-73.358855,Cl. 31 #70 # 10,Tunja,Boyacá,Colombia
91,5.542574,-73.351261,Cra. 1 B #32-34,Tunja,Boyacá,Colombia
92,5.547187,-73.3644,Tv. 16e #32a-72,Tunja,Boyacá,Colombia
93,5.837503,-73.016953,Via a San Luis #3535,Duitama,Boyacá,Colombia
94,5.834894,-73.037994,Cra. 7b #15a2,Duitama,Boyacá,Colombia
95,5.813776,-73.017317,36,Duitama,Boyacá,Colombia
96,5.811358,-73.020871,Cl. 21 #40-40,Duitama,Boyacá,Colombia
97,5.533561,-73.36771,Cra. 15 #18-85,Tunja,Boyacá,Colombia
98,5.533583,-73.367855,Cra. 15 #1992,Tunja,Boyacá,Colombia
99,5.543834,-73.351232,Av. Olímpica #1a74,Tunja,Boyacá,Colombia
100,5.533369,-73.36786,Cra. 15 #1992,Tunja,Boyacá,Colombia
101,6.170993,-75.588861,Zona 8,Envigado,Antioquia,Colombia
102,5.544219,-73.358766,Cl. 31 #70 # 10,Tunja,Boyacá,Colombia
103,4.789333,-74.044606,Cl. 209 #45-80,Suba,Bogotá,Colombia
104,5.832951,-73.034636,Cra. 10 #17A-45,Duitama,Boyacá,Colombia
105,5.54471,-73.358862,Cl. 31 #70 # 10,Tunja,Boyacá,Colombia
106,5.832428,-73.039842,Cra. 8 #79,Duitama,Boyacá,Colombia
107,5.5688,-73.341385,Tv. 2 # 64 - 85,Tunja,Boyacá,Colombia
108,5.840411,-73.033813,Cra. 3 #18-67,Duitama,Boyacá,Colombia
109,5.542638,-73.351476,Cra. 1ª A Este #32-26,Tunja,Boyacá,Colombia
110,5.823259,-73.043891,Cra. 12 #1-33,Duitama,Boyacá,Colombia
111,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
112,5.545783,-73.34883,Av Universitaria #21,Tunja,Boyacá,Colombia
113,5.533326,-73.367808,Cra. 15 #1877,Tunja,Boyacá,Colombia
114,5.809592,-73.025662,Cra. 38a #14 - 27,Duitama,Boyacá,Colombia
115,4.647597,-74.050473,Cra. 2 Este #70-20,Bogotá,Bogotá,Colombia
116,5.57147,-73.333927,Av Universitaria,Tunja,Boyacá,Colombia
117,5.829407,-73.022982,Cra. 18 #18111,Duitama,Boyacá,Colombia
118,5.551171,-73.354109,Cra 7 #37d40,Tunja,Boyacá,Colombia
119,5.813691,-73.017276,36,Duitama,Boyacá,Colombia
120,5.811033,-73.020746,Cl. 20 #40-33,Duitama,Boyacá,Colombia
121,5.828146,-73.030763,Cl. 19 #16-78,Duitama,Boyacá,Colombia
122,5.529885,-73.368936,Dg. 16 #15-17,Tunja,Boyacá,Colombia
123,5.832837,-73.032324,CC IN NOVA PLAZA LC 141 - CL 18 # 12 - 53 Barrio Solano,Duitama,Boyacá,Colombia
124,5.83314,-73.031884,Cl. 20a #12-14,Duitama,Boyacá,Colombia
125,5.533348,-73.367777,Cra. 15 #1877,Tunja,Boyacá,Colombia
126,5.832791,-73.035114,Cl. 17 #928,Duitama,Boyacá,Colombia
127,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
128,5.832791,-73.035114,Cl. 17 #928,Duitama,Boyacá,Colombia
129,5.824249,-73.044426,Cra 11 #13-82,Duitama,Boyacá,Colombia
130,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
131,5.829123,-73.034186,Centro-Sur,Duitama,Boyacá,Colombia
132,5.821565,-73.042962,Cra. 17 #1-95,Duitama,Boyacá,Colombia
133,5.834047,-73.036509,Cra. 8 #1615,Duitama,Boyacá,Colombia
134,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
135,5.82774,-73.034692,Centro-Sur,Duitama,Boyacá,Colombia
136,8.550862,-72.934534,H328+85 El Tarra,H328+85 El Tarra,Norte de Santander,Colombia
